,role,company_name,work_experience,location,skills,post_date,link
1056,Urgent Hiring For Big 4 Consulting || Data Scientist,Big 4 Accounting Firms,3-6 Yrs,"Gurugram, Haryana","['Python', 'Data Science', 'Cloud', 'SQL', 'Science', 'Consulting', 'Data', 'Hiring']",4 Days Ago,https://www.naukri.com/job-listings-urgent-hiring-for-big-4-consulting-data-scientist-virtuoso-staffing-solutions-gurugram-haryana-3-to-6-years-220124001411
1057,Manager - Accounting Process,Lodha Group,8-12 Yrs,Mumbai (All Areas),"['General Ledger Accounting', 'Accounts Receivable', 'Accounts Payable', 'Management', 'General ledger', 'Ledger', 'Process', 'Ledger Accounting']",4 Days Ago,https://www.naukri.com/job-listings-manager-accounting-process-lodha-group-mumbai-all-areas-8-to-12-years-220124001377
1058,SQL/ SSIS/ SSAS/ SSRS Developer,CRG Solutions,5-7 Yrs,"Mumbai, Pune","['SSRS', 'SSIS', 'SSAS', 'ETL', 'SQL Server Reporting Services', 'sql server development', 'SSAS cubes', 'SSIS packages']",4 Days Ago,https://www.naukri.com/job-listings-sql-ssis-ssas-ssrs-developer-crg-solutions-pvt-ltd-mumbai-pune-5-to-7-years-220124901355
1059,Business Analyst,Sreyas Holistic Remedies,2-5 Yrs,"Hyderabad, Telangana(Begumpet)","['Business Analytics', 'Power Bi', 'Data Analysis', 'Data Visualization', 'Advanced Excel', 'Tableau', 'Bi', 'Excel']",4 Days Ago,https://www.naukri.com/job-listings-business-analyst-sreyas-holistic-remedies-hyderabad-telangana-2-to-5-years-220124001340
1060,GCP - Lead Architect / Principal Architect,Fractal Analytics,15-19 Yrs,Hybrid - Bangalore/Bengaluru,"['GCP', 'Cloud Storage', 'DevOps', 'MLOps', 'Data Engineering', 'BigQuery', 'Docker', 'Cloud Composer']",4 Days Ago,https://www.naukri.com/job-listings-gcp-lead-architect-principal-architect-fractal-analytics-pvt-ltd-bangalore-bengaluru-15-to-19-years-220124901291
1061,Data Analytics,AffinityX,5-7 Yrs,Hybrid - Pune(Kharadi),"['excel', 'advanced excel', 'data analysis', 'data', 'kpi', 'pivot table', 'google sheets', 'Pivot']",4 Days Ago,https://www.naukri.com/job-listings-data-analytics-affinityx-pune-5-to-7-years-110723009141
1062,Capital Markets Research,ANAROCK Capital Private Advisors Ltd.,3-5 Yrs,Mumbai (All Areas)(Bandra Kurla Complex),"['Excellent Verbal And Written Communication Skills', 'Data Analysis', 'Report Writing', 'Data Research', 'Desktop Research', 'Secondary Research', 'Primary Research', 'Data']",4 Days Ago,https://www.naukri.com/job-listings-capital-markets-research-anarock-capital-private-advisors-ltd-mumbai-all-areas-3-to-5-years-220124001135
1063,MSBI Developer,Kumaran Systems,8-12 Yrs,Chennai,"['SSAS', 'T-SQL', 'Oracle SQL', 'Stored Procedures', 'SSRS', 'MSBI', 'SSIS', 'Ssa']",4 Days Ago,https://www.naukri.com/job-listings-msbi-developer-kumaran-systems-chennai-8-to-12-years-220124001060
1064,Consultant - Presales,Sportism,2-4 Yrs,Gurgaon/Gurugram,"['Presales', 'RFPs', 'Financial Analysis', 'Data analysis', 'Sourcing Strategy', 'RFIs', 'Presales Consultant', 'Benchmarking']",4 Days Ago,https://www.naukri.com/job-listings-consultant-presales-sportism-gurgaon-gurugram-2-to-4-years-291223908053
1065,Sr. Consultant – Presales / Bid Management,Sportism,4-7 Yrs,Gurgaon/Gurugram,"['Presales', 'Data analysis', 'benchmarking', 'Bid Management', 'client engagements', 'financial modelling', 'Modeling', 'Client']",4 Days Ago,https://www.naukri.com/job-listings-sr-consultant-presales-bid-management-sportism-gurgaon-gurugram-4-to-7-years-020124901057
1066,Associate Data Analyst,Eaton Technologies,1-2 Yrs,Pune,"['data analysis', 'c', 'data analytics', 'workflow', 'data mining', 'documentation', 'business analysis', 'specifications']",4 Days Ago,https://www.naukri.com/job-listings-associate-data-analyst-eaton-corporation-pune-1-to-2-years-220124001030
1067,Data Engineer - Life Science / Pharma Domain,Tiger Analytics,4-7 Yrs,"Hyderabad, Telangana, Chennai, Tamil Nadu, Bengaluru, Karnataka","['data bricks', 'Pyspark', 'AWS', 'SQL', 'Data', 'Life sciences', 'Bricks', 'DNS']",4 Days Ago,https://www.naukri.com/job-listings-data-engineer-life-science-pharma-domain-tiger-analytics-hyderabad-telangana-chennai-tamil-nadu-bengaluru-karnataka-4-to-7-years-220124001027
1068,Data Analyst - Bangalore/Hyderabad - Night Shift,Indium Software,3-5 Yrs,"Hybrid - Hyderabad, Telangana, Bengaluru, Karnataka","['SQL', 'Python', 'Data Visualization', 'Data analysis', 'Data']",4 Days Ago,https://www.naukri.com/job-listings-data-analyst-bangalore-hyderabad-night-shift-indium-software-hyderabad-telangana-bengaluru-karnataka-3-to-5-years-220124001004
1069,Immediate requirement For Sr. PHP Developer,Jiem India,5-10 Yrs,"Hybrid - Pune, Maharashtra","['Php', 'Laravel', 'Codeigniter', 'PHP Development', 'Requirements', 'Development', 'SR']",4 Days Ago,https://www.naukri.com/job-listings-immediate-requirement-for-sr-php-developer-jiem-india-pvt-ltd-pune-maharashtra-5-to-10-years-220124000992
1070,Client Partner - Head of Delivery ( CPG/Retail),Fractal Analytics,20-30 Yrs,"Mumbai, Pune, Bangalore/Bengaluru","['supply chain management', 'Technology Strategy management', 'Client Engagement', 'machine learning', 'inventory optimization', 'IoT', 'Management', 'Cpg']",4 Days Ago,https://www.naukri.com/job-listings-client-partner-head-of-delivery-cpg-retail-fractal-analytics-pvt-ltd-mumbai-pune-bangalore-bengaluru-20-to-30-years-220124900983
1071,Manager Buying and Merchandising,Bean Hr Consulting,8-12 Yrs,Mumbai (All Areas),"['Buying', 'Merchandising', 'Assortment Planning', 'Range Planning', 'Trend Forecasting', 'Buyer Activities', 'Forecasting', 'Management']",4 Days Ago,https://www.naukri.com/job-listings-manager-buying-and-merchandising-bean-hr-consulting-mumbai-all-areas-8-to-12-years-220124000947
1072,Principal Consultant-Data Analyst,Client of EDGE,8-13 Yrs,"Hybrid - Hyderabad, Gurugram, Haryana, Bengaluru, Karnataka","['Azure', 'Analytics', 'SQL', 'Python', 'Airflow', 'Data Engineering', 'Data Pipeline', 'Cloud']",4 Days Ago,https://www.naukri.com/job-listings-principal-consultant-data-analyst-edge-executive-hyderabad-gurugram-haryana-bengaluru-karnataka-8-to-13-years-220124000806
1073,Management Trainee,Milestone Online Technology,0-1 Yrs,"Hybrid - Varanasi, Uttar Pradesh, Lucknow, Uttar Pradesh, Kanpur Nagar, Uttar Pradesh","['Finance', 'Excel', 'Analysis', 'MIS', 'Data Analysis', 'Reporting', 'MIS Reporting', 'Operations']",4 Days Ago,https://www.naukri.com/job-listings-management-trainee-milestone-online-technology-varanasi-uttar-pradesh-lucknow-uttar-pradesh-kanpur-nagar-uttar-pradesh-0-to-1-years-220124000748
1074,Management Trainee,Milestone Online Technology,0-1 Yrs,"Hybrid - Kolkata, West Bengal, Patna, Bihar, Ranchi, Jharkhand","['Finance', 'Excel', 'Analysis', 'MIS', 'Data Analysis', 'Reporting', 'MIS Reporting', 'Operations']",4 Days Ago,https://www.naukri.com/job-listings-management-trainee-milestone-online-technology-kolkata-west-bengal-patna-bihar-ranchi-jharkhand-0-to-1-years-220124000747
1075,Management Trainee,Milestone Online Technology,0-1 Yrs,"Hybrid - Ahmedabad, Vadodara, Gujarat","['Finance', 'Excel', 'Analysis', 'MIS', 'Data Analysis', 'Reporting', 'MIS Reporting', 'Operations']",4 Days Ago,https://www.naukri.com/job-listings-management-trainee-milestone-online-technology-ahmedabad-vadodara-gujarat-0-to-1-years-220124000746
1076,Management Trainee,Milestone Online Technology,0-1 Yrs,"Hybrid - Pune, Maharashtra, Mumbai (All Areas)","['Finance', 'Excel', 'Analysis', 'MIS', 'Data Analysis', 'Reporting', 'MIS Reporting', 'Operations']",4 Days Ago,https://www.naukri.com/job-listings-management-trainee-milestone-online-technology-pune-maharashtra-mumbai-all-areas-0-to-1-years-220124000743
1077,Management Trainee,Milestone Online Technology,0-1 Yrs,Remote,"['Finance', 'Excel', 'Analysis', 'MIS', 'Data Analysis', 'Reporting', 'MIS Reporting', 'Operations']",4 Days Ago,https://www.naukri.com/job-listings-management-trainee-milestone-online-technology-bangalore-bengaluru-0-to-1-years-220124000736
1078,Management Trainee,Milestone Online Technology,0-1 Yrs,"Hybrid - Hyderabad/Secunderabad, Chennai, Mumbai (All Areas)","['Finance', 'Excel', 'Analysis', 'MIS', 'Data Analysis', 'Reporting', 'MIS Reporting', 'Operations']",4 Days Ago,https://www.naukri.com/job-listings-management-trainee-milestone-online-technology-hyderabad-secunderabad-chennai-mumbai-all-areas-0-to-1-years-220124000735
1079,Management Trainee,Milestone Online Technology,0-1 Yrs,Remote,"['Finance', 'Excel', 'Analysis', 'MIS', 'Data Analysis', 'Reporting', 'MIS Reporting', 'Operations']",4 Days Ago,https://www.naukri.com/job-listings-management-trainee-milestone-online-technology-delhi-ncr-0-to-1-years-220124000733
1080,Pyspark Developer,Akana Services,4-8 Yrs,"Hybrid - Hyderabad, Chennai, Bengaluru","['Pyspark', 'Agile', 'Cicd Pipeline', 'Devops', 'Cloud Based', 'Cd', 'Development', 'Cloud']",4 Days Ago,https://www.naukri.com/job-listings-pyspark-developer-akana-services-hyderabad-chennai-bengaluru-4-to-8-years-220124000687
1081,Payroll & Time Office Executive,ALP Group,4-8 Yrs,"Rewari, Haryana, Bawal, Haryana, Neemrana, Rajasthan","['Time Office', 'Contract Labour Management', 'Payroll Administration', 'ESIC', 'Hiring', 'Bonus', 'Statutory Compliance', 'Factory Act']",5 Days Ago,https://www.naukri.com/job-listings-payroll-time-office-executive-simran-enterprises-rewari-haryana-bawal-haryana-neemrana-rajasthan-4-to-8-years-120124007463
1082,B6_Infrastructure Engineer_Associate Delivery Consultant,IBM,1-5 Yrs,"Kochi/Cochin, Bangalore/Bengaluru","['Unix', 'Automation', 'Linux', 'MySQL', 'Python', 'Tomcat', 'Ansible', 'Active directory']",5 Days Ago,https://www.naukri.com/job-listings-b6-infrastructure-engineer-associate-delivery-consultant-ibm-india-pvt-limited-kochi-cochin-bangalore-bengaluru-1-to-5-years-210124903366
1083,Data Engineer,IBM,2-4 Yrs,Pune,"['Data structures', 'Informatica', 'Business intelligence', 'SQL', 'Python', 'Data migration', 'Agile', 'Big Data']",5 Days Ago,https://www.naukri.com/job-listings-data-engineer-ibm-india-pvt-limited-pune-2-to-4-years-210124903326
1084,Data Engineer: Big Data-AWS,IBM,2-6 Yrs,Pune,"['Data analysis', 'SCALA', 'SQL', 'Python', 'HBase', 'MapR distribution', 'spark', 'Hadoop ecosystem']",5 Days Ago,https://www.naukri.com/job-listings-data-engineer-big-data-aws-ibm-india-pvt-limited-pune-2-to-6-years-210124903325
1085,Ecosystem Data Scientist,IBM,4-7 Yrs,Bangalore/Bengaluru,"['SAP', 'RDBMS', 'Apache', 'Open source', 'Python', 'Maximo', 'Agile', 'Data Lake']",5 Days Ago,https://www.naukri.com/job-listings-ecosystem-data-scientist-ibm-india-pvt-limited-bangalore-bengaluru-4-to-7-years-210124903317
1086,Data Scientist: Artificial Intelligence,IBM,3-7 Yrs,Bangalore/Bengaluru,"['Enterprise applications', 'Artificial Intelligence', 'Investigation', 'Open source', 'Cloud', 'Tableu', 'Data', 'Open']",5 Days Ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bangalore-bengaluru-3-to-7-years-210124903316
1087,Business Analyst,Promilo,0-5 Yrs,Bangalore/Bengaluru,"['Business analysis', 'Data Grid', 'tableau', 'Google Analytics', 'Adobe Analytics', 'SQL', 'Google', 'Grid']",5 Days Ago,https://www.naukri.com/job-listings-business-analyst-promilo-bangalore-bengaluru-0-to-5-years-210124903186
1088,BI Analyst - Data Warehousing / Qlik Sense,Sanorac Technologies,6-10 Yrs,"Hyderabad/Secunderabad, Chennai","['Business intelligence', 'Power BI', 'Qlik Sense', 'Dashboard Design', 'MSBI', 'Data Warehousing', 'Data Modeling', 'QlikView']",5 Days Ago,https://www.naukri.com/job-listings-bi-analyst-data-warehousing-qlik-sense-sanorac-technologies-private-limited-hyderabad-secunderabad-chennai-6-to-10-years-210124903184
1089,Lotus Interworks - Data Scientist,Lotus Interworks Inc,1-5 Yrs,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru","['Data science', 'Java', 'ggplot', 'data analysis', 'C', 'Periscope', 'Tableau', 'Business Objects']",5 Days Ago,https://www.naukri.com/job-listings-lotus-interworks-data-scientist-lotus-interworks-inc-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-1-to-5-years-210124903163
1090,Market Research Analyst - R&D - IIM/ISB/SPJ/FMS/MDI/XLRI,Lotus Interworks Inc,0-2 Yrs,"Kolkata, Mumbai, Hyderabad/Secunderabad, Ahmedabad","['market research', 'data analysis', 'product development', 'Data', 'Development', 'IBS', 'FMS', 'R']",5 Days Ago,https://www.naukri.com/job-listings-market-research-analyst-r-d-iim-isb-spj-fms-mdi-xlri-lotus-interworks-inc-kolkata-mumbai-hyderabad-secunderabad-ahmedabad-0-to-2-years-210124903155
1091,Data Syndication Analyst,Nvent,3-7 Yrs,Mumbai,"['Informatica Product 360', 'Informatica P360', 'ETIM', 'UNSPSC', 'Data Syndication', 'Data analysis', 'Syndication', 'Informatica']",5 Days Ago,https://www.naukri.com/job-listings-data-syndication-analyst-nvent-mumbai-3-to-7-years-210124903103
1092,Data Analyst,Nvent,2-3 Yrs,Mumbai,"['Data Analysis', 'power BI', 'Data Analyst', 'Tableau', 'analytical skills', 'customer support', 'Bi', 'Analytical']",5 Days Ago,https://www.naukri.com/job-listings-data-analyst-nvent-mumbai-2-to-3-years-210124903094
1093,Tableau Developer,Connectio Solutions,4-7 Yrs,Hyderabad/Secunderabad,"['Data Warehousing', 'Business Objects reporting', 'Business Intelligence Solution', 'data security', 'Data Analysis', 'data governance', 'Tableau Server', 'Data Visualization']",5 Days Ago,https://www.naukri.com/job-listings-tableau-developer-connectio-solutions-hyderabad-secunderabad-4-to-7-years-210124903069
1094,PYTHON DEVELOPER,Connectio Solutions,10-14 Yrs,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru","['Python core', 'Multithreading', 'GIT', 'Django', 'Pandas', 'Jinja 2', 'Kafka', 'scifi-kit']",5 Days Ago,https://www.naukri.com/job-listings-python-developer-connectio-solutions-mumbai-hyderabad-secunderabad-bangalore-bengaluru-10-to-14-years-210124903063
1095,Full Stack Developer,Stellar Solutions,3-5 Yrs,"Kolkata, Baguiati","['Full Stack Development', 'C#', 'Java', 'CSS', 'HTML', 'Node.js', 'React', 'Angular']",5 Days Ago,https://www.naukri.com/job-listings-full-stack-developer-stellar-solutions-kolkata-baguiati-3-to-5-years-210124903055
1096,Full Stack Developer,Stellar Solutions,6-8 Yrs,Baguiati,"['Full Stack Developer', 'C#', 'Java', 'CSS', 'jQuery', 'XML', 'JavaScript', 'HTML']",5 Days Ago,https://www.naukri.com/job-listings-full-stack-developer-stellar-solutions-baguiati-6-to-8-years-210124903050
1097,Management Trainee,Leading Client,0-1 Yrs,Gurgaon/Gurugram,"['project implementation', 'Data analysis', 'project monitoring', 'project coordination', 'data collection', 'Analysis', 'Training', 'Coordination']",5 Days Ago,https://www.naukri.com/job-listings-management-trainee-locus-solution-gurgaon-gurugram-0-to-1-years-210124902996
1098,Data Analyst,Leading Client,3-4 Yrs,Faridabad,"['MS Excel', 'MIS', 'Data Analysis', 'Data Visualization', 'pattern analysi', 'Analyses', 'Data', 'Microsoft']",5 Days Ago,https://www.naukri.com/job-listings-data-analyst-locus-solution-faridabad-3-to-4-years-210124902993
1099,Telemarketing Lead (Regional Language),Leading Client,3-8 Yrs,"Mumbai, Vijayawada, Nagpur, Pune, Faridabad","['Customer Support', 'Data analysis', 'MIS administration', 'MIS', 'Telecalling', 'Telemarketing', 'Communication', 'Analysis']",5 Days Ago,https://www.naukri.com/job-listings-telemarketing-lead-regional-language-locus-solution-mumbai-vijayawada-nagpur-pune-faridabad-3-to-8-years-210124902992
1100,Data Scientist,Superior Electric Machines,6-7 Yrs,"Mumbai, Chennai, Bangalore/Bengaluru","['data science', 'Map/Reduce', 'python', 'ggplot', 'data mining', 'Hadoop', 'Periscope', 'Business Objects']",5 Days Ago,https://www.naukri.com/job-listings-data-scientist-oceanofweb-mumbai-chennai-bangalore-bengaluru-6-to-7-years-210124902950
1101,Mobile Gaming Product Manager,Superior Electric Machines,7-9 Yrs,Gurgaon/Gurugram,"['product Management', 'impact analysis', 'user research', 'data analysis', 'gaming manager', 'mobile product manager', 'product manager', 'market research']",5 Days Ago,https://www.naukri.com/job-listings-mobile-gaming-product-manager-oceanofweb-gurgaon-gurugram-7-to-9-years-210124902887
1102,Data Scientist,Superior Electric Machines,4-5 Yrs,Gurgaon/Gurugram,"['Python', 'Hive', 'Hadoop', 'MySQL', 'data scientist', 'Spark', 'Gurobi', 'machine learning']",5 Days Ago,https://www.naukri.com/job-listings-data-scientist-oceanofweb-gurgaon-gurugram-4-to-5-years-210124902860
1103,Product Lead - Gaming,Superior Electric Machines,3-4 Yrs,Gurgaon/Gurugram,"['product development', 'Product engineering', 'data analysis', 'game development', 'Analysis', 'Engineering', 'Development', 'Gaming']",5 Days Ago,https://www.naukri.com/job-listings-product-lead-gaming-oceanofweb-gurgaon-gurugram-3-to-4-years-210124902851
1104,Business Development Manager,Parity Cube,3-5 Yrs,Mumbai,"['Business Development', 'Media Sales', 'Sales', 'Key Account Management', 'Institutional Sales', 'B2B Sales', 'Corporate Sales', 'B2B']",5 Days Ago,https://www.naukri.com/job-listings-business-development-manager-parity-cube-mumbai-3-to-5-years-210124902818
1105,General Manager/ Assistant General Manager/ Manager - Human Resources,Benovymed Healthcare,4-9 Yrs,"Noida, Gurgaon/Gurugram, Delhi / NCR","['Human Resources', 'Product Development', 'HR Operations', 'Human Resources Management', 'HR Planning', 'Assistance', 'Development', 'Resource']",5 Days Ago,https://www.naukri.com/job-listings-general-manager-assistant-general-manager-manager-human-resources-benovymed-healthcare-noida-gurgaon-gurugram-delhi-ncr-4-to-9-years-210124902776
